version,id,percent_of_occ_limit,type,factor
v2.0.101,177,20.00,Property Damage,4.87
v2.0.101,178,20.00,Breach of Contract,4.87
v2.0.101,179,20.00,Personal & Advertising Injury,9.75
v2.0.101,180,20.00,Intellectual Property Infringement,4.87
v2.0.101,181,20.00,Third Party Discriminatio,4.87
v2.0.101,182,20.00,Contractors Pollution (Claims Made),6.58
v2.0.101,183,20.00,Contractors Pollution (Occ),7.90
v2.0.101,184,20.00,Sexual Abuse & Misconduct,13.46
v2.0.101,185,20.00,Billing Errors Coverage,6.03
v2.0.101,186,20.00,Class Action Sublimit,-14.64
v2.0.101,187,20.00,Crisis Management,3.84
v2.0.101,188,20.00,Defense Only TCPA,10.86
v2.0.101,189,20.00,Defense Outside Limits,9.75
v2.0.101,190,20.00,Evacuation Expenses,3.84
v2.0.101,191,20.00,Faulty Workmanship,27.07
v2.0.101,192,20.00,Games of Chance / Over-Redemptio,6.03
v2.0.101,193,20.00,HIPAA Violations,2.41
v2.0.101,194,20.00,Open House Claim Sublimit,6.58
v2.0.101,195,20.00,Rectification Expenses,3.84
v2.0.101,196,20.00,Protective Indemnity,1.21
v2.0.101,197,20.00,Mold,3.84
v2.0.101,198,20.00,Pollutants in Transit,1.21
v2.0.101,199,20.00,Non-Owned Disposal Site,1.21
v2.0.101,200,20.00,Bodily injury / property damage,12.79
v2.0.101,201,20.00,Antitrust sublimit,2.41
v2.0.101,202,20.00,Failure to disclose pollutants,2.41
v2.0.101,203,20.00,FCRA defense only sublimit,10.86
v2.0.101,204,20.00,Pollution liability,6.09
v2.0.101,205,20.00,Technology Coverage Extensio,6.58
v2.0.101,206,20.00,Bodily Inury (Emotional Distress),6.09
v2.0.101,207,20.00,Network security & privacy,3.84
v2.0.101,208,20.00,Defamation Exclusion and Sublimit,-3.02
v2.0.101,209,20.00,InvasionPrivacyExclusionSublimit,-3.02
v2.0.101,210,20.00,Media activities,7.13
v2.0.101,211,25.00,Bodily Injury,13.25
v2.0.101,212,25.00,Property Damage,5.30
v2.0.101,213,25.00,Breach of Contract,5.30
v2.0.101,214,25.00,Personal & Advertising Injury,10.60
v2.0.101,215,25.00,Intellectual Property Infringement,5.30
v2.0.101,216,25.00,Third Party Discriminatio,5.30
v2.0.101,217,25.00,Contractors Pollution (Claims Made),7.09
v2.0.101,218,25.00,Contractors Pollution (Occ),8.51
v2.0.101,219,25.00,Sexual Abuse & Misconduct,14.02
v2.0.101,220,25.00,Billing Errors Coverage,6.38
v2.0.101,221,25.00,Class Action Sublimit,-14.38
v2.0.101,222,25.00,Crisis Management,4.14
v2.0.101,223,25.00,Defense Only TCPA,11.49
v2.0.101,224,25.00,Defense Outside Limits,10.60
v2.0.101,225,25.00,Evacuation Expenses,4.14
v2.0.101,226,25.00,Faulty Workmanship,29.18
v2.0.101,227,25.00,Games of Chance / Over-Redemptio,6.38
v2.0.101,228,25.00,HIPAA Violations,2.55
v2.0.101,229,25.00,Open House Claim Sublimit,7.09
v2.0.101,230,25.00,Rectification Expenses,4.14
v2.0.101,231,25.00,Protective Indemnity,1.28
v2.0.101,232,25.00,Mold,4.14
v2.0.101,233,25.00,Pollutants in Transit,1.28
v2.0.101,234,25.00,Non-Owned Disposal Site,1.28
v2.0.101,235,25.00,Bodily injury / property damage,13.91
v2.0.101,236,25.00,Antitrust sublimit,2.55
v2.0.101,237,25.00,Failure to disclose pollutants,2.55
v2.0.101,238,25.00,FCRA defense only sublimit,11.49
